"","Region","year","RptArea","Log_rfrel","Gui_nonpelrel","Gui_Yer","gui_pYEinNonpel","gui_var_pYEinNonpel","GuiYE","var_GuiYE","sqrt_GuiYE","GuiYE_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pYE","priv_var_pYE","gui_pYE","var_gui_pYE","Priv_YE","var_PrivYE","sqrt_PrivYE","PrivYE_UPRLWR95","blank2","TotalYErel","var_totalYErel","sqrt_totalYE","TotalYE_UPRLWR95"
"319","SE",2004,"SSEI",6002,2841,NA,0.264060525,0.002002844,750.195951525,16165.516723164,127.143685345219,249.201623276629,NA,10620.77019601,23134123.0277688,0.220844581,0.001365163,NA,NA,2345.53954383511,1313878.33055689,1146.24531866302,2246.64082457952,NA,3095.73549536011,1330043.84728006,1153.27526951724,2260.41952825379
"320","SE",2005,"SSEI",9401,4674,NA,0.264060525,0.002002844,1234.21889385,43754.682808944,209.176200388438,409.985352761339,NA,16635.4316249067,56755658.1267507,0.220844581,0.001365163,NA,NA,3673.84492695666,3223378.26507292,1795.37691448702,3518.93875239455,NA,4908.06382080666,3267132.94788186,1807.52121644031,3542.74158422301
"321","SE",2006,"SSEI",6626,3077,354,NA,NA,354,0,0,0,NA,11724.9622323829,28194469.1317464,0.246519247,0.000152252,NA,NA,2890.42886063047,1738650.39163595,1318.5789288609,2584.41470056736,NA,3244.42886063047,1738650.39163595,1318.5789288609,2584.41470056736
"322","SE",2007,"SSEI",3895,1932,301,NA,NA,301,0,0,0,NA,6892.35253473156,9742624.91219345,0.233815211,0.00011267,NA,NA,1611.53686219465,539074.984180492,734.217259522338,1439.06582866378,NA,1912.53686219465,539074.984180492,734.217259522338,1439.06582866378
"323","SE",2008,"SSEI",3127,1315,258,NA,NA,258,0,0,0,NA,5533.34695150336,6279380.80584807,0.205320033,0.000135744,NA,NA,1136.10697868312,269724.14958121,519.349737249582,1017.92548500918,NA,1394.10697868312,269724.14958121,519.349737249582,1017.92548500918
"324","SE",2009,"SSEI",1615,726,158,NA,NA,158,0,0,0,NA,2857.80470952284,1674966.4483188,0.20845341,0.000158654,NA,NA,595.719136814096,74343.4974421023,272.660040053731,534.413678505313,NA,753.719136814096,74343.4974421023,272.660040053731,534.413678505313
"325","SE",2010,"SSEI",3026,1842,209,NA,NA,209,0,0,0,NA,5354.6235610007,5880292.18266293,0.280214861,0.00018073,NA,NA,1500.44509685314,467967.342630595,684.08138596997,1340.79951650114,NA,1709.44509685314,467967.342630595,684.08138596997,1340.79951650114
"326","SE",2011,"SSEI",1401,557,132,NA,NA,132,0,0,0,NA,3027.67548500882,2492666.77727787,0.275136399,0.000155567,NA,NA,833.023730285905,190508.801097005,436.473139032638,855.487352503971,NA,965.023730285905,190508.801097005,436.473139032638,855.487352503971
"327","SE",2012,"SSEI",1982,1213,188,NA,NA,188,0,0,0,NA,3308.38808399805,3537724.22884366,0.266495287,0.000167646,NA,NA,881.66983195244,253676.290985967,503.662874337554,987.179233701606,NA,1069.66983195244,253676.290985967,503.662874337554,987.179233701606
"328","SE",2013,"SSEI",2044,1461,165,NA,NA,165,0,0,0,NA,7891.83511569123,27499452.4149664,0.187141948,9.69e-05,NA,NA,1476.89339684526,971788.543499093,985.793357402601,1932.1549805091,NA,1641.89339684526,971788.543499093,985.793357402601,1932.1549805091
