"SP","USER","YEAR","CFMU","n_fish","boats","mean_wt","sd_wt","bootstrap_sd"
145,"Private",2021,"PWSI",57,33,2.61314831955688,1.53836588992453,0.20717198308
145,"Private",2021,"PWSO",23,8,4.05270122921225,1.35034077397785,0.272110330123736
145,"Private",2022,"NG",39,13,3.17330222657148,1.63837544919541,0.259216133698057
145,"Private",2022,"PWSI",126,51,3.25832727448988,1.42123579234645,0.123724019362268
145,"Private",2022,"PWSO",23,7,3.99691328714968,1.76977667197753,0.36078544545994
145,"Private",2023,"NG",29,12,3.94591575560202,1.67354904936403,0.302659171231425
145,"Private",2023,"PWSI",34,14,2.83571068594218,1.31883249674099,0.228063230229317
145,"Private",2023,"PWSO",20,7,4.26275544211567,1.27311981905573,0.282566712236233
145,"Private",2024,"NG",79,33,3.63564120563378,2.48984657076881,0.276993444094204
145,"Private",2024,"NORTHEAST",13,8,4.07880571628308,1.93091513502748,0.520356382260051
145,"Private",2024,"PWSI",48,20,2.61471989067199,0.966407012312257,0.140235345425285
145,"Private",2025,"NG",51,19,4.54360714940713,2.16756698844781,0.304441992880971
145,"Private",2025,"NORTHEAST",16,11,4.37268226736579,2.45640708591237,0.596552353640964
145,"Private",2025,"PWSI",35,15,3.03216213833687,1.47556059695198,0.242006843410688
